image_path,finger_id
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair0.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair1.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair10.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair100.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair11.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair12.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair13.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair14.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair15.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair16.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair17.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair18.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair19.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair2.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair20.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair21.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair22.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair23.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair24.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair25.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair26.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair27.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair28.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair29.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair3.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair30.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair31.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair32.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair33.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair34.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair35.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair36.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair37.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair38.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair39.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair4.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair40.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair41.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair42.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair43.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair44.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair45.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair46.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair47.bmp,dhy_R1
rawdata/data/butieping/dhy_R1/Rgd1245/dhy_R1_pair48.bmp,dhy_R1
